,STATION,DATE,CLDD,HTDD,TAVG,TMAX,TMIN,dt,doy
79,USW00093738,1970-03-21,,,,50,35,1970-03-21,80
80,USW00093738,1970-03-22,,,,42,31,1970-03-22,81
81,USW00093738,1970-03-23,,,,53,29,1970-03-23,82
82,USW00093738,1970-03-24,,,,51,28,1970-03-24,83
83,USW00093738,1970-03-25,,,,52,22,1970-03-25,84
84,USW00093738,1970-03-26,,,,71,28,1970-03-26,85
85,USW00093738,1970-03-27,,,,55,29,1970-03-27,86
86,USW00093738,1970-03-28,,,,66,24,1970-03-28,87
87,USW00093738,1970-03-29,,,,48,26,1970-03-29,88
88,USW00093738,1970-03-30,,,,40,22,1970-03-30,89
89,USW00093738,1970-03-31,,,,48,30,1970-03-31,90
90,USW00093738,1970-04-01,,,,52,27,1970-04-01,91
91,USW00093738,1970-04-02,,,,71,42,1970-04-02,92
92,USW00093738,1970-04-03,,,,61,37,1970-04-03,93
93,USW00093738,1970-04-04,,,,55,29,1970-04-04,94
94,USW00093738,1970-04-05,,,,52,30,1970-04-05,95
95,USW00093738,1970-04-06,,,,42,29,1970-04-06,96
96,USW00093738,1970-04-07,,,,52,32,1970-04-07,97
97,USW00093738,1970-04-08,,,,70,24,1970-04-08,98
98,USW00093738,1970-04-09,,,,80,50,1970-04-09,99
99,USW00093738,1970-04-10,,,,65,40,1970-04-10,100
100,USW00093738,1970-04-11,,,,59,25,1970-04-11,101
101,USW00093738,1970-04-12,,,,56,33,1970-04-12,102
102,USW00093738,1970-04-13,,,,61,31,1970-04-13,103
103,USW00093738,1970-04-14,,,,47,43,1970-04-14,104
104,USW00093738,1970-04-15,,,,62,38,1970-04-15,105
105,USW00093738,1970-04-16,,,,70,33,1970-04-16,106
106,USW00093738,1970-04-17,,,,70,43,1970-04-17,107
107,USW00093738,1970-04-18,,,,68,45,1970-04-18,108
108,USW00093738,1970-04-19,,,,52,43,1970-04-19,109
109,USW00093738,1970-04-20,,,,67,41,1970-04-20,110
110,USW00093738,1970-04-21,,,,72,45,1970-04-21,111
111,USW00093738,1970-04-22,,,,74,44,1970-04-22,112
112,USW00093738,1970-04-23,,,,59,48,1970-04-23,113
113,USW00093738,1970-04-24,,,,72,55,1970-04-24,114
114,USW00093738,1970-04-25,,,,74,42,1970-04-25,115
115,USW00093738,1970-04-26,,,,65,53,1970-04-26,116
116,USW00093738,1970-04-27,,,,68,50,1970-04-27,117
117,USW00093738,1970-04-28,,,,73,50,1970-04-28,118
118,USW00093738,1970-04-29,,,,83,52,1970-04-29,119
119,USW00093738,1970-04-30,,,,84,59,1970-04-30,120
120,USW00093738,1970-05-01,,,,84,60,1970-05-01,121
121,USW00093738,1970-05-02,,,,81,55,1970-05-02,122
122,USW00093738,1970-05-03,,,,63,48,1970-05-03,123
123,USW00093738,1970-05-04,,,,57,43,1970-05-04,124
124,USW00093738,1970-05-05,,,,77,41,1970-05-05,125
125,USW00093738,1970-05-06,,,,57,38,1970-05-06,126
126,USW00093738,1970-05-07,,,,65,28,1970-05-07,127
127,USW00093738,1970-05-08,,,,83,42,1970-05-08,128
128,USW00093738,1970-05-09,,,,86,51,1970-05-09,129
129,USW00093738,1970-05-10,,,,86,55,1970-05-10,130
130,USW00093738,1970-05-11,,,,84,56,1970-05-11,131
131,USW00093738,1970-05-12,,,,84,57,1970-05-12,132
132,USW00093738,1970-05-13,,,,84,56,1970-05-13,133
133,USW00093738,1970-05-14,,,,81,56,1970-05-14,134
134,USW00093738,1970-05-15,,,,68,53,1970-05-15,135
135,USW00093738,1970-05-16,,,,69,56,1970-05-16,136
136,USW00093738,1970-05-17,,,,66,47,1970-05-17,137
137,USW00093738,1970-05-18,,,,70,44,1970-05-18,138
138,USW00093738,1970-05-19,,,,83,42,1970-05-19,139
139,USW00093738,1970-05-20,,,,86,57,1970-05-20,140
140,USW00093738,1970-05-21,,,,81,50,1970-05-21,141
141,USW00093738,1970-05-22,,,,88,56,1970-05-22,142
142,USW00093738,1970-05-23,,,,87,59,1970-05-23,143
143,USW00093738,1970-05-24,,,,85,59,1970-05-24,144
144,USW00093738,1970-05-25,,,,76,64,1970-05-25,145
145,USW00093738,1970-05-26,,,,81,58,1970-05-26,146
146,USW00093738,1970-05-27,,,,70,44,1970-05-27,147
147,USW00093738,1970-05-28,,,,72,40,1970-05-28,148
148,USW00093738,1970-05-29,,,,73,43,1970-05-29,149
149,USW00093738,1970-05-30,,,,73,44,1970-05-30,150
150,USW00093738,1970-05-31,,,,81,54,1970-05-31,151
151,USW00093738,1970-06-01,,,,83,56,1970-06-01,152
152,USW00093738,1970-06-02,,,,84,64,1970-06-02,153
153,USW00093738,1970-06-03,,,,87,64,1970-06-03,154
154,USW00093738,1970-06-04,,,,75,60,1970-06-04,155
155,USW00093738,1970-06-05,,,,83,60,1970-06-05,156
156,USW00093738,1970-06-06,,,,75,52,1970-06-06,157
157,USW00093738,1970-06-07,,,,74,46,1970-06-07,158
158,USW00093738,1970-06-08,,,,83,53,1970-06-08,159
159,USW00093738,1970-06-09,,,,82,56,1970-06-09,160
160,USW00093738,1970-06-10,,,,86,57,1970-06-10,161
161,USW00093738,1970-06-11,,,,88,56,1970-06-11,162
162,USW00093738,1970-06-12,,,,88,57,1970-06-12,163
163,USW00093738,1970-06-13,,,,79,53,1970-06-13,164
164,USW00093738,1970-06-14,,,,75,46,1970-06-14,165
165,USW00093738,1970-06-15,,,,67,58,1970-06-15,166
166,USW00093738,1970-06-16,,,,79,58,1970-06-16,167
167,USW00093738,1970-06-17,,,,86,58,1970-06-17,168
168,USW00093738,1970-06-18,,,,88,65,1970-06-18,169
169,USW00093738,1970-06-19,,,,86,59,1970-06-19,170
170,USW00093738,1970-06-20,,,,78,60,1970-06-20,171
171,USW00093738,1970-06-21,,,,82,60,1970-06-21,172
172,USW00093738,1970-06-22,,,,78,57,1970-06-22,173
173,USW00093738,1970-06-23,,,,82,53,1970-06-23,174
174,USW00093738,1970-06-24,,,,83,51,1970-06-24,175
175,USW00093738,1970-06-25,,,,89,58,1970-06-25,176
176,USW00093738,1970-06-26,,,,82,65,1970-06-26,177
177,USW00093738,1970-06-27,,,,75,52,1970-06-27,178
178,USW00093738,1970-06-28,,,,79,44,1970-06-28,179
179,USW00093738,1970-06-29,,,,81,47,1970-06-29,180
180,USW00093738,1970-06-30,,,,92,59,1970-06-30,181
181,USW00093738,1970-07-01,,,,90,60,1970-07-01,182
182,USW00093738,1970-07-02,,,,94,67,1970-07-02,183
183,USW00093738,1970-07-03,,,,92,63,1970-07-03,184
184,USW00093738,1970-07-04,,,,92,64,1970-07-04,185
185,USW00093738,1970-07-05,,,,82,55,1970-07-05,186
186,USW00093738,1970-07-06,,,,86,52,1970-07-06,187
187,USW00093738,1970-07-07,,,,87,47,1970-07-07,188
188,USW00093738,1970-07-08,,,,88,61,1970-07-08,189
189,USW00093738,1970-07-09,,,,84,66,1970-07-09,190
190,USW00093738,1970-07-10,,,,79,65,1970-07-10,191
191,USW00093738,1970-07-11,,,,84,59,1970-07-11,192
192,USW00093738,1970-07-12,,,,92,61,1970-07-12,193
193,USW00093738,1970-07-13,,,,86,56,1970-07-13,194
194,USW00093738,1970-07-14,,,,83,59,1970-07-14,195
195,USW00093738,1970-07-15,,,,90,69,1970-07-15,196
196,USW00093738,1970-07-16,,,,88,59,1970-07-16,197
197,USW00093738,1970-07-17,,,,84,56,1970-07-17,198
198,USW00093738,1970-07-18,,,,88,56,1970-07-18,199
199,USW00093738,1970-07-19,,,,88,59,1970-07-19,200
200,USW00093738,1970-07-20,,,,88,65,1970-07-20,201
201,USW00093738,1970-07-21,,,,77,60,1970-07-21,202
202,USW00093738,1970-07-22,,,,78,60,1970-07-22,203
203,USW00093738,1970-07-23,,,,71,64,1970-07-23,204
204,USW00093738,1970-07-24,,,,84,67,1970-07-24,205
205,USW00093738,1970-07-25,,,,90,65,1970-07-25,206
206,USW00093738,1970-07-26,,,,89,65,1970-07-26,207
207,USW00093738,1970-07-27,,,,89,62,1970-07-27,208
208,USW00093738,1970-07-28,,,,89,64,1970-07-28,209
209,USW00093738,1970-07-29,,,,90,67,1970-07-29,210
210,USW00093738,1970-07-30,,,,87,66,1970-07-30,211
211,USW00093738,1970-07-31,,,,90,70,1970-07-31,212
212,USW00093738,1970-08-01,,,,92,69,1970-08-01,213
213,USW00093738,1970-08-02,,,,90,64,1970-08-02,214
214,USW00093738,1970-08-03,,,,88,57,1970-08-03,215
215,USW00093738,1970-08-04,,,,79,57,1970-08-04,216
216,USW00093738,1970-08-05,,,,80,57,1970-08-05,217
217,USW00093738,1970-08-06,,,,82,58,1970-08-06,218
218,USW00093738,1970-08-07,,,,82,58,1970-08-07,219
219,USW00093738,1970-08-08,,,,84,60,1970-08-08,220
220,USW00093738,1970-08-09,,,,81,61,1970-08-09,221
221,USW00093738,1970-08-10,,,,78,59,1970-08-10,222
222,USW00093738,1970-08-11,,,,84,57,1970-08-11,223
223,USW00093738,1970-08-12,,,,88,55,1970-08-12,224
224,USW00093738,1970-08-13,,,,88,59,1970-08-13,225
225,USW00093738,1970-08-14,,,,89,63,1970-08-14,226
226,USW00093738,1970-08-15,,,,87,59,1970-08-15,227
227,USW00093738,1970-08-16,,,,90,62,1970-08-16,228
228,USW00093738,1970-08-17,,,,89,60,1970-08-17,229
229,USW00093738,1970-08-18,,,,84,56,1970-08-18,230
230,USW00093738,1970-08-19,,,,87,65,1970-08-19,231
231,USW00093738,1970-08-20,,,,87,65,1970-08-20,232
232,USW00093738,1970-08-21,,,,85,55,1970-08-21,233
233,USW00093738,1970-08-22,,,,83,52,1970-08-22,234
234,USW00093738,1970-08-23,,,,77,63,1970-08-23,235
235,USW00093738,1970-08-24,,,,81,58,1970-08-24,236
236,USW00093738,1970-08-25,,,,83,54,1970-08-25,237
237,USW00093738,1970-08-26,,,,85,56,1970-08-26,238
238,USW00093738,1970-08-27,,,,89,54,1970-08-27,239
239,USW00093738,1970-08-28,,,,89,59,1970-08-28,240
240,USW00093738,1970-08-29,,,,90,60,1970-08-29,241
241,USW00093738,1970-08-30,,,,89,61,1970-08-30,242
242,USW00093738,1970-08-31,,,,84,55,1970-08-31,243
243,USW00093738,1970-09-01,,,,77,49,1970-09-01,244
244,USW00093738,1970-09-02,,,,80,44,1970-09-02,245
245,USW00093738,1970-09-03,,,,82,55,1970-09-03,246
246,USW00093738,1970-09-04,,,,91,67,1970-09-04,247
247,USW00093738,1970-09-05,,,,88,58,1970-09-05,248
248,USW00093738,1970-09-06,,,,81,54,1970-09-06,249
249,USW00093738,1970-09-07,,,,83,50,1970-09-07,250
250,USW00093738,1970-09-08,,,,81,48,1970-09-08,251
251,USW00093738,1970-09-09,,,,82,63,1970-09-09,252
252,USW00093738,1970-09-10,,,,91,65,1970-09-10,253
253,USW00093738,1970-09-11,,,,77,52,1970-09-11,254
254,USW00093738,1970-09-12,,,,77,45,1970-09-12,255
255,USW00093738,1970-09-13,,,,82,47,1970-09-13,256
256,USW00093738,1970-09-14,,,,89,57,1970-09-14,257
257,USW00093738,1970-09-15,,,,92,64,1970-09-15,258
258,USW00093738,1970-09-16,,,,94,63,1970-09-16,259
259,USW00093738,1970-09-17,,,,83,64,1970-09-17,260
260,USW00093738,1970-09-18,,,,84,66,1970-09-18,261
261,USW00093738,1970-09-19,,,,76,55,1970-09-19,262
262,USW00093738,1970-09-20,,,,80,49,1970-09-20,263
263,USW00093738,1970-09-21,,,,89,57,1970-09-21,264
264,USW00093738,1970-09-22,,,,94,61,1970-09-22,265
265,USW00093738,1970-09-23,,,,92,62,1970-09-23,266
266,USW00093738,1970-09-24,,,,92,66,1970-09-24,267
267,USW00093738,1970-09-25,,,,92,63,1970-09-25,268
268,USW00093738,1970-09-26,,,,91,60,1970-09-26,269
269,USW00093738,1970-09-27,,,,73,53,1970-09-27,270
270,USW00093738,1970-09-28,,,,67,45,1970-09-28,271
271,USW00093738,1970-09-29,,,,61,40,1970-09-29,272
272,USW00093738,1970-09-30,,,,67,38,1970-09-30,273
273,USW00093738,1970-10-01,,,,69,40,1970-10-01,274
274,USW00093738,1970-10-02,,,,73,38,1970-10-02,275
275,USW00093738,1970-10-03,,,,84,50,1970-10-03,276
276,USW00093738,1970-10-04,,,,65,38,1970-10-04,277
277,USW00093738,1970-10-05,,,,72,32,1970-10-05,278
278,USW00093738,1970-10-06,,,,79,38,1970-10-06,279
279,USW00093738,1970-10-07,,,,80,38,1970-10-07,280
280,USW00093738,1970-10-08,,,,77,47,1970-10-08,281
281,USW00093738,1970-10-09,,,,77,51,1970-10-09,282
282,USW00093738,1970-10-10,,,,79,56,1970-10-10,283
283,USW00093738,1970-10-11,,,,74,57,1970-10-11,284
284,USW00093738,1970-10-12,,,,75,53,1970-10-12,285
285,USW00093738,1970-10-13,,,,79,52,1970-10-13,286
286,USW00093738,1970-10-14,,,,80,54,1970-10-14,287
287,USW00093738,1970-10-15,,,,71,53,1970-10-15,288
288,USW00093738,1970-10-16,,,,54,40,1970-10-16,289
289,USW00093738,1970-10-17,,,,52,34,1970-10-17,290
290,USW00093738,1970-10-18,,,,67,35,1970-10-18,291
291,USW00093738,1970-10-19,,,,68,34,1970-10-19,292
292,USW00093738,1970-10-20,,,,58,38,1970-10-20,293
293,USW00093738,1970-10-21,,,,59,50,1970-10-21,294
294,USW00093738,1970-10-22,,,,70,56,1970-10-22,295
295,USW00093738,1970-10-23,,,,69,47,1970-10-23,296
296,USW00093738,1970-10-24,,,,65,42,1970-10-24,297
297,USW00093738,1970-10-25,,,,65,46,1970-10-25,298
298,USW00093738,1970-10-26,,,,61,47,1970-10-26,299
299,USW00093738,1970-10-27,,,,54,46,1970-10-27,300
300,USW00093738,1970-10-28,,,,53,43,1970-10-28,301
301,USW00093738,1970-10-29,,,,55,44,1970-10-29,302
302,USW00093738,1970-10-30,,,,55,46,1970-10-30,303
303,USW00093738,1970-10-31,,,,56,51,1970-10-31,304
304,USW00093738,1970-11-01,,,,66,45,1970-11-01,305
305,USW00093738,1970-11-02,,,,57,48,1970-11-02,306
306,USW00093738,1970-11-03,,,,57,41,1970-11-03,307
307,USW00093738,1970-11-04,,,,44,35,1970-11-04,308
308,USW00093738,1970-11-05,,,,54,42,1970-11-05,309
309,USW00093738,1970-11-06,,,,57,34,1970-11-06,310
310,USW00093738,1970-11-07,,,,65,34,1970-11-07,311
311,USW00093738,1970-11-08,,,,61,29,1970-11-08,312
312,USW00093738,1970-11-09,,,,56,43,1970-11-09,313
313,USW00093738,1970-11-10,,,,58,47,1970-11-10,314
314,USW00093738,1970-11-11,,,,59,55,1970-11-11,315
315,USW00093738,1970-11-12,,,,60,50,1970-11-12,316
316,USW00093738,1970-11-13,,,,59,49,1970-11-13,317
317,USW00093738,1970-11-14,,,,58,50,1970-11-14,318
318,USW00093738,1970-11-15,,,,55,42,1970-11-15,319
319,USW00093738,1970-11-16,,,,47,34,1970-11-16,320
320,USW00093738,1970-11-17,,,,49,26,1970-11-17,321
321,USW00093738,1970-11-18,,,,48,28,1970-11-18,322
322,USW00093738,1970-11-19,,,,59,32,1970-11-19,323
323,USW00093738,1970-11-20,,,,59,41,1970-11-20,324
324,USW00093738,1970-11-21,,,,55,31,1970-11-21,325
325,USW00093738,1970-11-22,,,,61,31,1970-11-22,326
326,USW00093738,1970-11-23,,,,54,22,1970-11-23,327
327,USW00093738,1970-11-24,,,,37,22,1970-11-24,328
328,USW00093738,1970-11-25,,,,37,15,1970-11-25,329
329,USW00093738,1970-11-26,,,,44,28,1970-11-26,330
330,USW00093738,1970-11-27,,,,53,28,1970-11-27,331
331,USW00093738,1970-11-28,,,,59,35,1970-11-28,332
332,USW00093738,1970-11-29,,,,57,42,1970-11-29,333
333,USW00093738,1970-11-30,,,,62,33,1970-11-30,334
334,USW00093738,1970-12-01,,,,55,30,1970-12-01,335
335,USW00093738,1970-12-02,,,,75,34,1970-12-02,336
336,USW00093738,1970-12-03,,,,59,31,1970-12-03,337
337,USW00093738,1970-12-04,,,,61,36,1970-12-04,338
338,USW00093738,1970-12-05,,,,49,24,1970-12-05,339
339,USW00093738,1970-12-06,,,,47,30,1970-12-06,340
340,USW00093738,1970-12-07,,,,37,18,1970-12-07,341
341,USW00093738,1970-12-08,,,,42,17,1970-12-08,342
342,USW00093738,1970-12-09,,,,58,29,1970-12-09,343
343,USW00093738,1970-12-10,,,,57,29,1970-12-10,344
344,USW00093738,1970-12-11,,,,48,27,1970-12-11,345
345,USW00093738,1970-12-12,,,,39,36,1970-12-12,346
346,USW00093738,1970-12-13,,,,43,35,1970-12-13,347
347,USW00093738,1970-12-14,,,,46,25,1970-12-14,348
348,USW00093738,1970-12-15,,,,43,22,1970-12-15,349
349,USW00093738,1970-12-16,,,,49,20,1970-12-16,350
350,USW00093738,1970-12-17,,,,53,38,1970-12-17,351
351,USW00093738,1970-12-18,,,,49,28,1970-12-18,352
352,USW00093738,1970-12-19,,,,61,28,1970-12-19,353
353,USW00093738,1970-12-20,,,,49,29,1970-12-20,354
354,USW00093738,1970-12-21,,,,39,30,1970-12-21,355
355,USW00093738,1970-12-22,,,,40,32,1970-12-22,356
356,USW00093738,1970-12-23,,,,39,34,1970-12-23,357
357,USW00093738,1970-12-24,,,,42,24,1970-12-24,358
358,USW00093738,1970-12-25,,,,37,20,1970-12-25,359
359,USW00093738,1970-12-26,,,,32,18,1970-12-26,360
360,USW00093738,1970-12-27,,,,39,17,1970-12-27,361
361,USW00093738,1970-12-28,,,,36,21,1970-12-28,362
362,USW00093738,1970-12-29,,,,36,15,1970-12-29,363
363,USW00093738,1970-12-30,,,,37,19,1970-12-30,364
364,USW00093738,1970-12-31,,,,34,23,1970-12-31,365
365,USW00093738,1971-01-01,,,,37,27,1971-01-01,1
366,USW00093738,1971-01-02,,,,38,8,1971-01-02,2
367,USW00093738,1971-01-03,,,,43,8,1971-01-03,3
368,USW00093738,1971-01-04,,,,38,23,1971-01-04,4
369,USW00093738,1971-01-05,,,,45,34,1971-01-05,5
370,USW00093738,1971-01-06,,,,34,23,1971-01-06,6
371,USW00093738,1971-01-07,,,,32,17,1971-01-07,7
372,USW00093738,1971-01-08,,,,28,11,1971-01-08,8
373,USW00093738,1971-01-09,,,,34,21,1971-01-09,9
374,USW00093738,1971-01-10,,,,34,17,1971-01-10,10
375,USW00093738,1971-01-11,,,,42,25,1971-01-11,11
376,USW00093738,1971-01-12,,,,44,23,1971-01-12,12
377,USW00093738,1971-01-13,,,,33,28,1971-01-13,13
378,USW00093738,1971-01-14,,,,47,30,1971-01-14,14
379,USW00093738,1971-01-15,,,,40,27,1971-01-15,15
380,USW00093738,1971-01-16,,,,32,18,1971-01-16,16
381,USW00093738,1971-01-17,,,,33,13,1971-01-17,17
382,USW00093738,1971-01-18,,,,28,8,1971-01-18,18
383,USW00093738,1971-01-19,,,,23,12,1971-01-19,19
384,USW00093738,1971-01-20,,,,32,17,1971-01-20,20
385,USW00093738,1971-01-21,,,,46,12,1971-01-21,21
386,USW00093738,1971-01-22,,,,47,27,1971-01-22,22
387,USW00093738,1971-01-23,,,,47,27,1971-01-23,23
388,USW00093738,1971-01-24,,,,39,24,1971-01-24,24
389,USW00093738,1971-01-25,,,,39,24,1971-01-25,25
390,USW00093738,1971-01-26,,,,48,26,1971-01-26,26
391,USW00093738,1971-01-27,,,,26,15,1971-01-27,27
392,USW00093738,1971-01-28,,,,28,10,1971-01-28,28
393,USW00093738,1971-01-29,,,,42,5,1971-01-29,29
394,USW00093738,1971-01-30,,,,52,33,1971-01-30,30
395,USW00093738,1971-01-31,,,,33,11,1971-01-31,31
396,USW00093738,1971-02-01,,,,21,9,1971-02-01,32
397,USW00093738,1971-02-02,,,,25,10,1971-02-02,33
398,USW00093738,1971-02-03,,,,30,11,1971-02-03,34
399,USW00093738,1971-02-04,,,,30,23,1971-02-04,35
400,USW00093738,1971-02-05,,,,39,30,1971-02-05,36
401,USW00093738,1971-02-06,,,,51,27,1971-02-06,37
402,USW00093738,1971-02-07,,,,43,23,1971-02-07,38
403,USW00093738,1971-02-08,,,,39,35,1971-02-08,39
404,USW00093738,1971-02-09,,,,37,17,1971-02-09,40
405,USW00093738,1971-02-10,,,,34,9,1971-02-10,41
406,USW00093738,1971-02-11,,,,49,14,1971-02-11,42
407,USW00093738,1971-02-12,,,,62,33,1971-02-12,43
408,USW00093738,1971-02-13,,,,53,26,1971-02-13,44
409,USW00093738,1971-02-14,,,,36,22,1971-02-14,45
410,USW00093738,1971-02-15,,,,40,20,1971-02-15,46
411,USW00093738,1971-02-16,,,,42,21,1971-02-16,47
412,USW00093738,1971-02-17,,,,52,19,1971-02-17,48
413,USW00093738,1971-02-18,,,,65,27,1971-02-18,49
414,USW00093738,1971-02-19,,,,62,37,1971-02-19,50
415,USW00093738,1971-02-20,,,,70,38,1971-02-20,51
416,USW00093738,1971-02-21,,,,55,38,1971-02-21,52
417,USW00093738,1971-02-22,,,,42,39,1971-02-22,53
418,USW00093738,1971-02-23,,,,46,36,1971-02-23,54
419,USW00093738,1971-02-24,,,,45,35,1971-02-24,55
420,USW00093738,1971-02-25,,,,60,28,1971-02-25,56
421,USW00093738,1971-02-26,,,,56,32,1971-02-26,57
422,USW00093738,1971-02-27,,,,71,38,1971-02-27,58
423,USW00093738,1971-02-28,,,,65,36,1971-02-28,59
424,USW00093738,1971-03-01,,,,58,31,1971-03-01,60
425,USW00093738,1971-03-02,,,,45,30,1971-03-02,61
426,USW00093738,1971-03-03,,,,40,33,1971-03-03,62
427,USW00093738,1971-03-04,,,,34,24,1971-03-04,63
428,USW00093738,1971-03-05,,,,52,21,1971-03-05,64
429,USW00093738,1971-03-06,,,,62,23,1971-03-06,65
430,USW00093738,1971-03-07,,,,52,29,1971-03-07,66
431,USW00093738,1971-03-08,,,,36,25,1971-03-08,67
432,USW00093738,1971-03-09,,,,45,25,1971-03-09,68
433,USW00093738,1971-03-10,,,,49,20,1971-03-10,69
434,USW00093738,1971-03-11,,,,51,33,1971-03-11,70
435,USW00093738,1971-03-12,,,,58,33,1971-03-12,71
436,USW00093738,1971-03-13,,,,68,31,1971-03-13,72
437,USW00093738,1971-03-14,,,,49,38,1971-03-14,73
438,USW00093738,1971-03-15,,,,69,43,1971-03-15,74
439,USW00093738,1971-03-16,,,,70,37,1971-03-16,75
440,USW00093738,1971-03-17,,,,45,31,1971-03-17,76
441,USW00093738,1971-03-18,,,,50,23,1971-03-18,77
442,USW00093738,1971-03-19,,,,48,35,1971-03-19,78
443,USW00093738,1971-03-20,,,,43,34,1971-03-20,79
444,USW00093738,1971-03-21,,,,51,29,1971-03-21,80
445,USW00093738,1971-03-22,,,,61,26,1971-03-22,81
446,USW00093738,1971-03-23,,,,44,28,1971-03-23,82
447,USW00093738,1971-03-24,,,,41,21,1971-03-24,83
